date,id,drone.number,it.distance,treatment
2018-04-09,3.5,3,3.058,zone.3
2018-04-13,3.5,1,3.445,zone.3
2018-04-13,2.3,1,3.304,zone.2
2018-04-13,2.3,2,3.753,zone.2
2018-04-13,2.3,3,2.565,zone.2
2018-04-13,2.3,4,3.449,zone.2
2018-04-13,2.3,5,2.663,zone.2
2018-04-13,2.3,6,3.344,zone.2
2018-04-13,2.3,7,3.078,zone.2
2018-04-09,3.4,1,3.302,zone.3
2018-04-09,3.4,2,3.124,zone.3
2018-04-09,3.4,1,3.815,zone.3
2018-04-09,3.4,2,2.862,zone.3
2018-04-09,2.3,1,3.258,zone.2
2018-04-16,1.7,1,2.748,zone.1
2018-04-16,1.7,2,2.847,zone.1
2018-04-16,1.7,3,2.679,zone.1
2018-04-16,1.7,4,2.861,zone.1
2018-04-09,1.5,1,2.748,zone.1
2018-04-09,1.5,2,2.926,zone.1
2018-04-09,1.5,3,3.023,zone.1
2018-04-16,3.6,1,3.387,zone.3
2018-04-16,3.6,2,3.221,zone.3
2018-04-16,3.6,3,2.432,zone.3
2018-04-09,3.2,1,3.209,zone.3
2018-04-09,3.2,2,2.51,zone.3
2018-04-09,3.2,3,2.606,zone.3
2018-04-09,3.2,4,2.716,zone.3
2018-04-09,3.2,5,2.549,zone.3
2018-04-13,3.4,1,3.112,zone.3
2018-04-13,3.4,2,2.667,zone.3
2018-04-13,1.7,1,2.98,zone.1
2018-04-13,1.7,2,3.478,zone.1
2018-04-13,1.7,3,3.241,zone.1
2018-04-13,1.7,4,2.509,zone.1
2018-04-05,2.4,1,3.138,zone.2
2018-04-05,2.4,2,3.749,zone.2
2018-04-05,2.4,3,2.795,zone.2
2018-04-05,2.4,4,3.139,zone.2
2018-04-09,2.7,1,3.149,zone.2
2018-04-09,2.7,2,2.785,zone.2
2018-04-09,2.7,3,2.657,zone.2
2018-04-09,2.7,4,2.575,zone.2
2018-04-05,3.1,1,2.588,zone.3
2018-04-05,3.1,2,3.694,zone.3
2018-04-05,3.1,3,3.062,zone.3
2018-04-05,3.1,4,3.606,zone.3
2018-04-05,3.1,5,2.867,zone.3
2018-04-05,3.4,1,3.227,zone.3
2018-04-05,3.4,2,3.204,zone.3
2018-04-05,3.4,3,2.602,zone.3
2018-04-09,2.4,1,2.626,zone.2
2018-04-09,2.4,2,2.964,zone.2
2018-04-09,2.4,3,3.04,zone.2
2018-04-09,2.4,4,3.187,zone.2
2018-04-09,3.6,1,3.269,zone.3
2018-04-09,3.6,2,2.588,zone.3
2018-04-09,3.6,3,2.649,zone.3
2018-04-09,3.6,4,3.362,zone.3
2018-04-09,3.6,5,3.43,zone.3
2018-04-09,2.3,1,3.039,zone.2
2018-04-09,2.3,2,2.926,zone.2
2018-04-09,2.3,3,2.9,zone.2
2018-04-09,2.3,4,2.868,zone.2
2018-04-09,2.3,5,2.805,zone.2
2018-04-16,1.3,1,2.405,zone.1
