,Sample information,,,Demography,,,,,,microcolony level,,,food remaining,,food provided,,culling,,room conditions,
ID,date,time,initials,n new drones,n total drones,n worker deaths,age class,workers replaced?,drones removed?,activity code,dominant worker,microcolony mass,pollen mass,nectar mass,pollen mass,nectar mass,n culled,frozen? ,temp,humidity
2.1,5/2,,jH,0,0,5,A,,,"A,C",-,451.01,-,9.94,2.01,19.93,-,,26.9,63
2.1,5/7,,jH,6,6,2,A,2/2,5/6,,-,452.2,2.24,9.58,2.04,18.9,-,,27,48
2.1,5/11,,,,,,,,,,,,-,8,2,18.72,,,,
2.1,5/14,,jH,4,5,1,A,,,"A,C",-,455.19,-,9.57,2.03,19.24,-,,26.7,61
1.7,3/15,19:55,jH,-,-,0,A,,,"A,F",-,440,-,-,-,14.55,-,,28.1,60
1.7,3/18,,jH,,,,,,,,-,441.1,-,7.27,1.05,14.99,,,,
1.7,3/22,,jH,-,-,1,A,yes,,,-,440.82,-,7.41,1.03,14.45,,,26.8,68
1.7,3/26,,jH,-,-,0,,,,"C,L,F",-,441.82,0.6,6.41,1.16,14.34,-,,26.5,63
1.7,3/29,,jH,5,5,0,,,1/5,A,-,441.68,-,7.37,1.09,15.11,-,,27.1,62
1.7,4/1,,jH,2,7,0,A,,5/7,,-,441.69,-,7.71,1.05,14.59,-,,26.5,60
1.7,4/5,,jH,3,5,1,A,yes,5/5,"C,L",-,440.95,-,7.5,1.08,13.96,-,,25.7,61
1.7,4/9,,jH,2,2,0,A,,2/2,"A,C",-,441.04,1.62,6.24,1.1,12.39,-,,27.1,56
1.7,4/13,,jH,4,4,0,A,,4/4,"A,L",-,440.65,-,6.4,1.06,13.22,-,,27.6,62
1.7,4/16,,jH,5,5,0,A,,5/5,A,-,439.84,-,7.25,1.1,14.55,-,,30.7,35
1.7,4/20,,jH,2,4,0,A,,2/3-4,A,-,440.61,-,7.19,1.14,13.86,-,,26.6,55
1.7,4/24,,jH,0,0,1,A,,,"C,L",-,441.96,2.77,6.66,1.02,13.36,-,,25.9,60
