id,date,time,initials,temp,humidity,activity,mc_mass,n_drones,n_new_drones,n_worker_deaths,brood,workers_replaced,drones_removed,drones_frz,p_mass_rm,n_mass_rm,p_mass_fd,n_mass_fd,notes,treatment,fd.day
1.5,2018-12-01,13:30:00,JH,26.2,60,"A,C",426.12,0,0,1,"E,H,P",1-Jan,,,2.05,9.13,1,13.86,,zone.1,6
1.5,2018-12-06,14:00:00,JH,26.5,56,?,423.79,2,2,0,"E,H",,2-Feb,?,NA,7.17,1.06,14.51,,zone.1,7
1.5,2018-12-09,13:44:00,GW,26.8,70,C,425.69,1,1,1,"E,H,P",1-Jan,1-Jan,Yes,NA,7.81,1,13.15,,zone.1,8
1.5,2018-12-12,19:15:00,GW,25.3,64,?,435.91,0,0,0,"E,P",,,,1.98,8.07,1.02,13.87,,zone.1,9
1.5,2018-12-15,19:53:00,GW,25.6,59,"C,F",424.8,0,0,0,"E,P",,,,NA,8.22,1,13.6,,zone.1,10
1.5,2018-12-18,16:18:00,GW,25,61,"L,F",425.99,0,0,0,"E,H,P",,,,NA,8.07,0.97,14.2,,zone.1,11
1.5,2018-12-21,13:56:00,GW,24.8,63,C,426.98,0,0,2,"E,P",2-Feb,,,2.73,9.63,0.95,14.3,,zone.1,12
1.5,2018-12-26,10:10:00,JH,25.7,60,"C,L",424.58,0,0,0,?,,,,NA,7.7,1.07,13.89,,zone.1,13
1.5,2018-12-30,18:13:00,GW,26.5,65,"C,F",425.67,0,0,1,"E,P",1-Jan,,,NA,8.84,0.98,13.66,,zone.1,14
1.5,2019-01-03,15:18:00,GW,24.5,62,"C,F",426.69,0,0,1,"E,H,P",1-Jan,,,1.84,8.1,0.96,13.96,,zone.1,15
1.5,2019-01-06,15:24:00,GW,24.9,59,?,426.26,0,0,2,?,2-Feb,,,NA,8.95,0.97,14.43,,zone.1,16
1.5,2019-01-09,13:01:00,GW,24.5,61,"A,F",426.77,0,0,0,P,,,,NA,8.21,0.99,14.96,,zone.1,17
1.6,2018-11-13,21:21:00,GW,27.5,73,C,437.29,0,0,0,"E,H",,,,NA,16.91,0.99,14.42,,zone.1,1
1.6,2018-11-16,17:15:00,GW,26.8,65,C,438.71,0,0,1,"E,H",1-Jan,,,NA,9.28,1.01,13.73,,zone.1,2
1.6,2018-11-20,17:34:00,GW,27,56,C,439.17,0,0,0,"E,H",,,,1.63,6.89,0.98,14.15,,zone.1,3
1.6,2018-11-25,14:57:00,GW,26.5,65,C,437.1,0,0,1,"E,P",1-Jan,,,NA,7.48,0.99,14.13,,zone.1,4
1.6,2018-11-28,20:44:00,GW,26.4,65,C,438.57,0,0,0,"E,H,P",,,,NA,8.02,1.03,13.36,,zone.1,5
1.6,2018-12-01,13:30:00,JH,26.4,63,"A,C",439.98,1,1,1,"E,P",1-Jan,1-Jan,,1.88,8.14,1.02,13.68,,zone.1,6
1.6,2018-12-06,14:00:00,JH,26.5,59,"A,L",436.53,6,6,2,"E,H",2-Feb,6-Jun,,NA,6.39,1.03,14.63,,zone.1,7
1.6,2018-12-09,13:55:00,GW,26.9,70,C,438.6,1,1,2,"E,H",2-Feb,1-Jan,Yes,NA,8.95,1.04,13.33,,zone.1,8
1.6,2018-12-12,19:19:00,GW,25.4,65,C,440.21,1,1,2,"E,H,P",2-Feb,1-Jan,,1.97,8.29,0.98,13.61,,zone.1,9
1.6,2018-12-15,19:57:00,GW,25.6,60,C,439.38,0,0,3,"H,P",3-Mar,,,NA,10.01,1,13.78,,zone.1,10
1.6,2018-12-18,16:22:00,GW,25,62,A,439.29,0,0,3,"H,P",3-Mar,,,NA,10.44,1,13.81,,zone.1,11
1.6,2018-12-21,14:01:00,GW,24.8,63,"A,L,F",440.06,0,0,0,"E,H,P",,,,1.12,8.34,1.03,13.8,,zone.1,12
1.6,2018-12-26,10:10:00,JH,25.8,61,"C,L",438.54,1,1,2,"H,P",2-Feb,,,NA,8,1.05,13.38,,zone.1,13
1.6,2018-12-30,18:18:00,GW,26.5,65,C,439.32,3,3,4,"H,P",4-Apr,3-Mar,Yes,NA,9.17,1.02,14.01,,zone.1,14
1.6,2019-01-03,15:23:00,GW,24.6,63,"C,F",439.44,0,0,2,P,2-Feb,,,2.23,8.55,0.99,14.04,,zone.1,15
1.6,2019-01-06,15:28:00,GW,25,60,"A,C",438.45,0,0,1,"H,P",,,,NA,8.42,1.01,13.93,,zone.1,16
1.6,2019-01-09,13:04:00,GW,24.6,61,"A,C,F",439.42,0,0,0,"E,H",,,,NA,8.26,0.97,13.84,,zone.1,17
1.7,2018-11-13,21:18:00,GW,27.5,72,C,436.64,0,0,0,H,,,,NA,20.1,0.99,13.68,,zone.1,1
1.7,2018-11-16,17:20:00,GW,26.8,66,C,437.91,0,0,0,"E,H",,,,NA,10.25,1.03,15.58,,zone.1,2
1.7,2018-11-20,19:39:00,GW,27.1,60,C,439.13,0,0,0,"E,H",,,,3.01,10.27,0.96,14.89,,zone.1,3
1.7,2018-11-25,15:01:00,GW,26.5,66,C,437.32,0,0,0,"E,H",,,,NA,9.82,1.04,13.65,,zone.1,4
1.7,2018-11-28,20:48:00,GW,26.4,66,C,438.54,0,0,0,"E,H",,,,NA,10.24,0.99,13.9,,zone.1,5
1.7,2018-12-01,13:30:00,JH,26.5,67,C,439.48,0,0,0,"E,H",,,,2.59,11.25,1.04,13.33,,zone.1,6
1.7,2018-12-06,14:05:00,JH,26.6,61,C,437.53,0,0,0,"E,H",,,,NA,8.78,1.03,13.92,,zone.1,7
1.7,2018-12-09,14:07:00,GW,26.9,71,C,438.82,0,0,0,"E,H",,,,NA,11.86,1.02,13.98,,zone.1,8
1.7,2018-12-12,19:28:00,GW,25.5,66,C,439.58,0,0,0,"E,H,P",,,,2.89,12.2,0.97,14.41,,zone.1,9
1.7,2018-12-15,20:04:00,GW,25.7,61,C,437.62,0,0,1,"H,P",1-Jan,,,NA,13.14,1.02,13.67,,zone.1,10
1.7,2018-12-18,16:27:00,GW,25.1,62,C,438.63,0,0,0,H,,,,NA,11.38,1,14.12,,zone.1,11
1.7,2018-12-21,14:04:00,GW,24.8,63,C,439.43,0,0,0,H,,,,3.03,12.35,1.02,14.29,,zone.1,12
1.7,2018-12-26,10:15:00,JH,25.9,63,"C,L",437.35,0,0,1,H,1-Jan,,,NA,12.07,1.03,13.25,,zone.1,13
1.7,2018-12-30,18:31:00,GW,26.6,66,L,438.02,0,0,2,H,2-Feb,,,NA,12.05,0.97,14.16,,zone.1,14
1.7,2019-01-03,15:31:00,GW,24.7,63,C,439,0,0,2,H,2-Feb,,,2.91,11.21,0.99,14.36,,zone.1,15
1.7,2019-01-06,15:32:00,GW,25,60,A,437.5,0,0,1,H,1-Jan,,,NA,10.58,1.01,14.03,,zone.1,16
1.7,2019-01-09,13:06:00,GW,24.6,61,C,438.45,0,0,0,H,,,,NA,9.45,1.01,14.75,,zone.1,17
2.1,2018-11-13,21:13:00,GW,27.5,72,C,422.56,0,0,2,N,2-Feb,,,NA,20.66,2.04,17.06,,zone.2,1
2.1,2018-11-16,17:25:00,GW,26.9,66,C,424.51,0,0,1,E,1-Jan,,,NA,12.52,1.96,19.1,,zone.2,2
2.1,2018-11-20,19:43:00,GW,27.2,61,C,426.02,0,0,3,P,3-Mar,,,2.98,14.83,2.04,17.65,,zone.2,3
2.1,2018-11-25,15:04:00,GW,26.6,66,C,425.41,0,0,2,E,2-Feb,,,NA,11.46,2.01,17.53,,zone.2,4
2.1,2018-11-28,20:52:00,GW,26.5,66,C,427.57,0,0,1,"E,H",1-Jan,,,NA,12.54,2.03,17.74,,zone.2,5
2.1,2018-12-01,13:30:00,JH,26.7,68,A,430.18,0,0,0,"E,H",,,,5.76,12.38,2.09,18.62,,zone.2,6
2.1,2018-12-06,14:05:00,JH,26.6,62,A,425.55,0,0,0,"E,H,P",,,,NA,8.36,1.95,20.29,,zone.2,7
2.1,2018-12-09,14:17:00,GW,26.9,70,A,427.82,0,0,1,"E,H,P",1-Jan,,,NA,13.67,2.01,17.54,,zone.2,8
2.1,2018-12-12,19:32:00,GW,25.5,66,A,429.65,0,0,0,"E,H,P",,1-Jan,Yes,5.52,10.91,1.99,17.37,,zone.2,9
2.1,2018-12-15,20:08:00,GW,25.7,61,"C,F",426.01,0,0,1,"E,H,P",1-Jan,3-Mar,Yes,NA,11.49,2.04,17.51,,zone.2,10
2.1,2018-12-18,16:31:00,GW,25.1,61,"A,C",429.09,1,1,0,"E,H,P",,,,NA,11.59,1.97,17.96,,zone.2,11
2.1,2018-12-21,14:07:00,GW,24.9,64,"A,F",431.37,3,3,1,"E,H,P",1-Jan,,,6.71,11.22,2,17.49,,zone.2,12
2.1,2018-12-26,10:15:00,JH,26,65,C,425.99,0,0,2,"E,H,P",2-Feb,,,NA,9.96,2.03,18.51,,zone.2,13
2.1,2018-12-30,18:36:00,GW,26.6,66,A,427.52,0,0,0,"H,P",,,,NA,10.88,2.02,18.34,,zone.2,14
2.1,2019-01-03,15:38:00,GW,24.8,64,"C,F",429.23,0,0,1,"E,H,P",1-Jan,,,3.43,10.69,2,18.53,,zone.2,15
2.1,2019-01-06,15:36:00,GW,25.1,60,"C,L",428.17,1,1,0,"H,P",,1-Jan,Yes,NA,11.99,1.98,17.41,,zone.2,16
2.1,2019-01-09,13:09:00,GW,24.7,62,A,429.54,3,3,1,"E,H,P",3-Mar,3-Mar,Yes,NA,11.3,2.02,18.17,,zone.2,17
2.2,2018-11-13,21:11:00,GW,27.5,72,C,425.21,0,0,0,"E,H",,,,NA,17.6,1.96,17.44,,zone.2,1
2.2,2018-11-16,17:33:00,GW,27,67,C,427.29,0,0,0,"E,H",,,,NA,11.39,1.97,19.43,,zone.2,2
2.2,2018-11-20,19:51:00,GW,27.2,62,C,429.19,0,0,1,"E,H",1-Jan,,,4.19,11.73,2.03,17.67,,zone.2,3
2.2,2018-11-25,15:08:00,GW,26.6,66,C,426.7,0,0,2,"E,H,P",2-Feb,,,NA,9.73,2.03,17.13,,zone.2,4
2.2,2018-11-28,20:57:00,GW,26.5,66,C,429.99,2,2,0,"E,H,P",,2-Feb,Yes,NA,8.9,1.97,16.48,,zone.2,5
2.2,2018-12-01,13:30:00,JH,26.7,69,C,432.02,0,0,0,"E,H,P",,,,4.07,9.07,2.03,18.68,,zone.2,6
2.2,2018-12-06,14:10:00,JH,26.7,63,"A,C",426.83,1,1,0,"E,H,P",,1-Jan,Yes,NA,8.35,1.96,19.21,,zone.2,7
2.2,2018-12-09,14:20:00,GW,26.9,70,C,430.02,0,0,0,"E,H,P",,,,NA,10.36,2.03,17.76,,zone.2,8
2.2,2018-12-12,19:37:00,GW,25.6,66,"A,C",431.53,0,0,1,"E,H,P",1-Jan,,,3.36,11.27,2,17.52,,zone.2,9
2.2,2018-12-15,20:16:00,GW,25.7,63,C,429.63,5,5,2,"E,H,P",2-Feb,5-May,Yes,NA,11.15,2.01,18.13,,zone.2,10
2.2,2018-12-18,16:35:00,GW,25.1,60,A,430.97,4,4,0,"E,H,P",,4-Apr,Yes,NA,12.72,2,17.01,,zone.2,11
2.2,2018-12-21,14:13:00,GW,24.9,64,C,432.09,3,2,1,"E,H,P",1-Jan,3-Mar,Yes,5.6,13.1,1.98,17.52,,zone.2,12
2.2,2018-12-26,10:20:00,JH,26.1,67,L,427.39,1,1,5,"E,H",5-May,,,NA,15.37,2.01,18.32,,zone.2,13
2.2,2018-12-30,18:39:00,GW,26.6,67,"A,C",430.4,0,0,1,"H,P",1-Jan,,,NA,8.6,1.96,17.37,,zone.2,14
2.2,2019-01-03,15:45:00,GW,24.8,65,C,432.04,0,0,2,"E,H,P",2-Feb,,,1.74,9.31,1.97,27.66,,zone.2,15
2.2,2019-01-06,15:42:00,GW,25.2,60,C,432.7,0,0,2,"E,H",2-Feb,,,NA,9.77,1.96,17.42,,zone.2,16
2.2,2019-01-09,13:18:00,GW,24.8,62,C,433.74,0,0,2,"E,H",2-Feb,,,NA,13.13,2.01,18.06,,zone.2,17
2.3,2018-11-13,21:08:00,GW,27.4,73,"C,F",428.97,0,0,0,"E,H",,,,NA,17.45,1.98,17.3,,zone.2,1
2.3,2018-11-16,17:39:00,GW,27,68,C,431.36,0,0,0,"E,H",,,,NA,11.21,1.99,19.98,,zone.2,2
2.3,2018-11-20,17:56:00,GW,27.2,62,A,432.59,0,0,1,"E,H",1-Jan,,,4.34,14.09,1.99,17.49,,zone.2,3
2.3,2018-11-25,15:14:00,GW,26.6,67,C,430.57,0,0,3,"E,H,P",3-Mar,,,NA,12.31,2.04,17.39,,zone.2,4
2.3,2018-11-28,21:15:00,GW,26.6,68,C,432.98,0,0,1,"E,H,P",1-Jan,,,NA,11.47,2.02,17.75,,zone.2,5
2.3,2018-12-01,13:30:00,JH,26.7,70,"A,C",435.48,1,1,0,"E,H,P",,1-Jan,Yes,5.55,12.45,1.97,18.33,,zone.2,6
2.3,2018-12-06,14:10:00,JH,26.7,64,"A,C,L",430.35,3,3,0,?,3-Mar,,,NA,8.45,1.99,18.89,,zone.2,7
2.3,2018-12-09,14:25:00,GW,26.9,69,C,433.45,0,0,0,"E,H",,,,NA,11.98,1.96,17.04,,zone.2,8
2.3,2018-12-12,19:43:00,GW,25.6,67,C,435.31,0,0,0,"E,H",,,,5.33,10.76,2.04,17.05,,zone.2,9
2.3,2018-12-15,20:26:00,GW,25.8,64,C,431.9,0,0,0,"E,H",,,,NA,11.8,2.02,17.17,,zone.2,10
2.3,2018-12-18,16:45:00,GW,25.2,61,A,433.66,0,0,2,"E,H",2-Feb,,,NA,13.46,2.03,17.4,,zone.2,11
2.3,2018-12-21,14:21:00,GW,25,64,"A,F",435.81,1,1,0,"E,H,P",,1-Jan,Yes,5.12,11.49,1.96,17.17,,zone.2,12
2.3,2018-12-26,10:25:00,JH,26.2,68,A,431.56,0,0,0,"E,H,P",,,,NA,7.87,2.04,18.98,,zone.2,13
2.3,2018-12-30,18:45:00,GW,26.7,67,C,433.66,0,0,0,"E,H,P",,,,NA,9.73,2.03,17.51,,zone.2,14
2.3,2019-01-03,15:51:00,GW,24.8,65,C,434.94,1,1,0,"E,H,P",,1-Jan,Yes,3.88,10.64,2.04,17.95,,zone.2,15
2.3,2019-01-06,15:49:00,GW,25.2,60,C,434.07,4,4,0,"E,H,P",,4-Apr,Yes,NA,11.14,2,17.99,,zone.2,16
