id,date,time,initials,temp,humidity,activity,mc_mass,n_drones,n_new_drones,n_worker_deaths,brood,workers_replaced,drones_removed,drones_frz,p_mass_rm,n_mass_rm,p_mass_fd,n_mass_fd,notes,treatment,fd.day
4.3,2018-11-13,21:02:00,GW,NA,NA,,431.46,0,0,1,,1-Jan,,,NA,20.69,0.79,11.29,,zone.4,1
4.3,2018-11-16,17:49:00,GW,NA,NA,,432.21,0,0,1,,1-Jan,,,NA,8.29,0.74,13.01,,zone.4,2
4.3,2018-11-20,20:11:00,GW,NA,NA,,432.63,0,0,0,,,,,1.25,7.18,0.79,11.12,,zone.4,3
4.3,2018-11-25,15:24:00,GW,NA,NA,,431.74,0,0,1,,1-Jan,,,NA,7,1.63,19.45,,zone.4,4
4.3,2018-11-28,21:26:00,GW,NA,NA,,434.43,0,0,2,,2-Feb,,,NA,13.56,1.62,19.54,,zone.4,5
4.3,2018-12-01,13:30:00,JH,NA,NA,,436.03,1,1,0,,,1-Jan,,3.87,10.46,1.65,18.91,,zone.4,6
4.3,2018-12-06,14:20:00,JH,NA,NA,,433.77,4,4,0,,,4-Apr,,NA,10.6,0.79,12.86,,zone.4,7
4.3,2018-12-09,14:35:00,GW,NA,NA,,434.84,1,1,1,,1-Jan,1-Jan,,NA,6.59,0.75,10.75,,zone.4,8
4.3,2018-12-12,20:00:00,GW,NA,NA,,434.38,0,0,2,,2-Feb,,,1.42,7.96,0.72,11.41,,zone.4,9
4.3,2018-12-15,20:37:00,GW,NA,NA,,432.69,0,0,0,,,,,NA,7.68,0.75,11.81,,zone.4,10
4.3,2018-12-18,16:52:00,GW,NA,NA,,433.35,0,0,0,,,,,NA,7.61,1.59,20.01,,zone.4,11
4.3,2018-12-21,14:36:00,GW,NA,NA,,435.92,0,0,0,,,,,2.43,14.22,1.56,20.47,,zone.4,12
4.3,2018-12-26,10:30:00,JH,NA,NA,,434.27,1,1,3,,3-Mar,1-Jan,,NA,14.88,1.56,20.5,,zone.4,13
4.3,2018-12-30,18:53:00,GW,NA,NA,,436.47,5,4,0,,,5-May,,NA,10.31,0.74,11.19,,zone.4,14
4.3,2019-01-03,16:06:00,GW,NA,NA,,434.53,0,0,0,,,,,2.47,7.54,0.72,11.25,,zone.4,15
4.3,2019-01-06,15:58:00,GW,NA,NA,,432.94,0,0,1,,1-Jan,,,NA,7.38,0.77,11.42,,zone.4,16
4.3,2019-01-09,13:30:00,GW,NA,NA,,433.55,0,0,0,,,,,NA,6.89,0.71,11.78,,zone.4,17
4.4,2018-11-13,21:02:00,GW,NA,NA,,422.7,0,0,1,,1-Jan,,,NA,18.87,0.74,1.15,,zone.4,1
4.4,2018-11-16,17:49:00,GW,NA,NA,,422.92,0,0,0,,,,,NA,7.72,0.76,11.28,,zone.4,2
4.4,2018-11-20,20:11:00,GW,NA,NA,,422.75,0,0,0,,,,,2.43,6.99,0.76,11.15,,zone.4,3
4.4,2018-11-25,15:24:00,GW,NA,NA,,420.89,0,0,1,,1-Jan,,,NA,7.52,1.61,19.44,,zone.4,4
4.4,2018-11-28,21:26:00,GW,NA,NA,,423.85,0,0,0,,,,,NA,12.23,1.56,18.97,,zone.4,5
4.4,2018-12-01,13:30:00,JH,NA,NA,,425.58,1,1,1,,1-Jan,1-Jan,,3.07,9.91,0.66,19.17,,zone.4,6
4.4,2018-12-06,14:20:00,JH,NA,NA,,423.69,1,1,0,,,1-Jan,,NA,11.35,0.81,12.5,,zone.4,7
4.4,2018-12-09,14:35:00,GW,NA,NA,,423.73,0,0,1,,1-Jan,,,NA,8.29,0.72,10.99,,zone.4,8
4.4,2018-12-12,20:00:00,GW,NA,NA,,423.81,0,0,0,,,,,2.2,6.96,0.71,10.69,,zone.4,9
4.4,2018-12-15,20:37:00,GW,NA,NA,,422.06,0,0,0,,,,,NA,7.26,0.74,11.44,,zone.4,10
4.4,2018-12-18,16:52:00,GW,NA,NA,,422.69,0,0,1,,1-Jan,,,NA,7.48,1.62,19.7,,zone.4,11
4.4,2018-12-21,14:36:00,GW,NA,NA,,425.36,2,2,1,,1-Jan,2-Feb,,1.83,10.38,1.62,20.56,,zone.4,12
4.4,2018-12-26,10:30:00,JH,NA,NA,,424.07,0,0,3,,3-Mar,,,NA,13.66,1.63,20.08,,zone.4,13
4.4,2018-12-30,18:53:00,GW,NA,NA,,426.4,3,3,1,,1-Jan,3-Mar,,NA,11.4,0.75,11.54,,zone.4,14
4.4,2019-01-03,16:06:00,GW,NA,NA,,424.92,2,2,2,,2-Feb,2-Feb,,2.88,8.06,0.74,11.45,,zone.4,15
4.4,2019-01-06,15:58:00,GW,NA,NA,,422.56,1,1,1,,1-Jan,1-Jan,,NA,7.43,0.77,11.81,,zone.4,16
4.4,2019-01-09,13:30:00,GW,NA,NA,,423.1,1,1,1,,1-Jan,1-Jan,,NA,7.88,0.76,11.84,,zone.4,17
4.5,2018-11-13,21:02:00,GW,NA,NA,,426.32,0,0,2,,2-Feb,,,NA,20.64,0.71,11.2,,zone.4,1
4.5,2018-11-16,17:49:00,GW,NA,NA,,426.95,0,0,1,,1-Jan,,,NA,8.42,0.78,11.73,,zone.4,2
4.5,2018-11-20,20:11:00,GW,NA,NA,,427.44,0,0,2,,2-Feb,,,2.42,7.97,0.77,11.26,,zone.4,3
4.5,2018-11-25,15:24:00,GW,NA,NA,,425.83,0,0,5,,5-May,,,NA,7.8,1.59,19.53,,zone.4,4
4.5,2018-11-28,21:26:00,GW,NA,NA,,427.84,0,0,3,,3-Mar,,,NA,14.23,1.64,18.53,,zone.4,5
4.5,2018-12-01,13:30:00,JH,NA,NA,,429.97,0,0,1,,1-Jan,,,3.49,9.9,1.66,19.16,,zone.4,6
4.5,2018-12-06,14:20:00,JH,NA,NA,,428.38,0,0,1,,1-Jan,,,NA,12.02,0.78,12.17,,zone.4,7
4.5,2018-12-09,14:35:00,GW,NA,NA,,428.5,0,0,1,,1-Jan,,,NA,8.14,0.71,10.73,,zone.4,8
4.5,2018-12-12,20:00:00,GW,NA,NA,,428.82,0,0,0,,,,,2.72,7.79,0.74,10.62,,zone.4,9
4.5,2018-12-15,20:37:00,GW,NA,NA,,426.84,0,0,2,,2-Feb,,,NA,7.51,0.75,11.26,,zone.4,10
4.5,2018-12-18,16:52:00,GW,NA,NA,,427.69,0,0,0,,,,,NA,7.13,1.61,19.92,,zone.4,11
4.5,2018-12-21,14:36:00,GW,NA,NA,,429.96,0,0,0,,,,,2.68,12.28,1.64,20.9,,zone.4,12
4.5,2018-12-26,10:30:00,JH,NA,NA,,429.26,0,0,1,,1-Jan,,,NA,11.03,1.59,20.4,,zone.4,13
4.5,2018-12-30,18:53:00,GW,NA,NA,,431.9,0,0,0,,,,,NA,9.9,0.78,10.85,,zone.4,14
4.5,2019-01-03,16:06:00,GW,NA,NA,,430.37,0,0,0,,,,,2.72,8.27,0.74,11.52,,zone.4,15
4.5,2019-01-06,15:58:00,GW,NA,NA,,428.27,0,0,0,,,,,NA,7.95,0.78,11.42,,zone.4,16
4.5,2019-01-09,13:30:00,GW,NA,NA,,428.87,0,0,1,,1-Jan,,,NA,7.69,0.77,12.02,,zone.4,17
4.6,2018-11-13,21:02:00,GW,NA,NA,,427.86,0,0,1,,1-Jan,,,NA,19.41,0.71,11.55,,zone.4,1
4.6,2018-11-16,17:49:00,GW,NA,NA,,429.1,0,0,2,,2-Feb,,,NA,8.07,0.77,11.97,,zone.4,2
4.6,2018-11-20,20:11:00,GW,NA,NA,,429.26,0,0,3,,3-Mar,,,2.47,6.91,0.73,11.25,,zone.4,3
4.6,2018-11-25,15:24:00,GW,NA,NA,,421.85,0,0,0,,,,,NA,7.54,1.59,19.67,,zone.4,4
4.6,2018-11-28,21:26:00,GW,NA,NA,,430.06,0,0,1,,1-Jan,,,NA,14.76,1.56,19.53,,zone.4,5
4.6,2018-12-01,13:30:00,JH,NA,NA,,431.37,0,0,1,,1-Jan,,,3.49,13.2,1.7,19.21,,zone.4,6
4.6,2018-12-06,14:20:00,JH,NA,NA,,429.19,0,0,2,,2-Feb,,,NA,14.9,0.81,12.42,,zone.4,7
4.6,2018-12-09,14:35:00,GW,NA,NA,,430.42,0,0,1,,1-Jan,,,NA,8.69,0.76,10.68,,zone.4,8
4.6,2018-12-12,20:00:00,GW,NA,NA,,430.76,0,0,1,,1-Jan,,,3.09,7.75,0.76,11.57,,zone.4,9
4.6,2018-12-15,20:37:00,GW,NA,NA,,428.52,0,0,1,,1-Jan,,,NA,8.54,0.76,10.53,,zone.4,10
4.6,2018-12-18,16:52:00,GW,NA,NA,,429.04,0,0,2,,2-Feb,,,NA,7.93,1.6,19.66,,zone.4,11
4.6,2018-12-21,14:36:00,GW,NA,NA,,431.47,0,0,0,,,,,3.03,13.55,1.6,20.22,,zone.4,12
4.6,2018-12-26,10:30:00,JH,NA,NA,,430.13,0,0,0,,,,,NA,12.07,1.65,19.59,,zone.4,13
4.6,2018-12-30,18:53:00,GW,NA,NA,,430.94,0,0,1,,1-Jan,,,NA,15.36,0.77,11.27,,zone.4,14
4.6,2019-01-03,16:06:00,GW,NA,NA,,431.12,0,0,1,,1-Jan,,,3.33,7.67,0.76,11.15,,zone.4,15
4.6,2019-01-06,15:58:00,GW,NA,NA,,428.67,0,0,2,,2-Feb,,,NA,6.98,0.73,10.8,,zone.4,16
4.6,2019-01-09,13:30:00,GW,NA,NA,,429.17,0,0,1,,1-Jan,,,NA,7.56,0.76,11.68,,zone.4,17
4.7,2018-11-13,21:02:00,GW,NA,NA,,423.79,0,0,1,,1-Jan,,,NA,20.85,0.77,11.35,,zone.4,1
4.7,2018-11-16,17:49:00,GW,NA,NA,,424.41,0,0,1,,1-Jan,,,NA,8.55,0.76,12.82,,zone.4,2
4.7,2018-11-20,20:11:00,GW,NA,NA,,424.86,0,0,1,,1-Jan,,,2.19,7.59,0.73,10.74,,zone.4,3
4.7,2018-11-25,15:24:00,GW,NA,NA,,422.74,0,0,1,,1-Jan,,,NA,7.08,0.59,19.5,,zone.4,4
4.7,2018-11-28,21:26:00,GW,NA,NA,,425.18,0,0,1,,1-Jan,,,NA,12.94,1.58,19.07,,zone.4,5
4.7,2018-12-01,13:30:00,JH,NA,NA,,426.6,0,0,0,,,,,3.08,11.16,1.56,19.04,,zone.4,6
4.7,2018-12-06,14:20:00,JH,NA,NA,,425.17,2,2,1,,1-Jan,2-Feb,,NA,11.86,0.74,12.77,,zone.4,7
4.7,2018-12-09,14:35:00,GW,NA,NA,,425.46,0,0,0,,,,,NA,9.42,0.72,10.87,,zone.4,8
4.7,2018-12-12,20:00:00,GW,NA,NA,,425.82,0,0,0,,,,,2.35,7.9,0.76,11.39,,zone.4,9
4.7,2018-12-15,20:37:00,GW,NA,NA,,424.15,0,0,0,,,,,NA,7.79,0.76,11.36,,zone.4,10
4.7,2018-12-18,16:52:00,GW,NA,NA,,424.77,0,0,0,,,,,NA,8.5,1.6,19.64,,zone.4,11
4.7,2018-12-21,14:36:00,GW,NA,NA,,426.8,0,0,2,,2-Feb,,,2.47,14.57,1.6,20.2,,zone.4,12
4.7,2018-12-26,10:30:00,JH,NA,NA,,426.71,0,0,1,,1-Jan,,,NA,9.8,1.68,19.99,,zone.4,13
4.7,2018-12-30,18:53:00,GW,NA,NA,,427.91,0,0,1,,1-Jan,,,NA,11.95,0.73,10.96,,zone.4,14
4.7,2019-01-03,16:06:00,GW,NA,NA,,426.67,3,3,0,,,3-Mar,,1.66,7.43,0.74,11.29,,zone.4,15
4.7,2019-01-06,15:58:00,GW,NA,NA,,425.59,0,0,1,,1-Jan,,,NA,6.89,0.74,11.29,,zone.4,16
4.7,2019-01-09,13:30:00,GW,NA,NA,,425.88,3,3,0,,,3-Mar,,NA,6.92,0.73,12.14,,zone.4,17
