rep,id,date,it.distance,notes,trt_pulse,trt_total
1,4.4,2018-05-24,2.487,NA,pulse,60
1,4.4,2018-05-24,2.083,NA,pulse,60
1,4.4,2018-05-24,2.483,NA,pulse,60
1,4.4,2018-05-24,2.63,NA,pulse,60
1,4.4,2018-05-24,2.805,NA,pulse,60
1,2.7,2018-05-24,2.415,NA,constant,100
1,2.7,2018-05-24,3.11,NA,constant,100
1,2.7,2018-05-24,2.679,NA,constant,100
1,2.6,2018-04-01,2.514,NA,constant,100
1,2.6,2018-04-01,2.805,NA,constant,100
1,1.7,2018-04-07,2.771,NA,constant,60
1,4.2,2018-03-29,3.428,NA,pulse,60
1,4.2,2018-03-29,2.884,NA,pulse,60
1,4.7,2018-03-29,3.249,NA,pulse,60
1,2.5,2018-04-05,2.298,NA,constant,100
1,2.5,2018-04-05,3.423,NA,constant,100
1,2.5,2018-04-05,3.376,NA,constant,100
1,4.7,2018-04-13,2.867,NA,pulse,60
1,4.7,2018-04-13,2.936,NA,pulse,60
1,4.7,2018-04-13,2.555,NA,pulse,60
1,4.7,2018-04-13,2.359,NA,pulse,60
1,3.6,2018-05-07,2.879,NA,pulse,100
1,3.6,2018-05-07,2.108,NA,pulse,100
1,3.6,2018-05-07,2.938,NA,pulse,100
1,3.6,2018-05-07,2.836,NA,pulse,100
1,3.1,2018-05-07,2.791,NA,pulse,100
1,3.1,2018-05-07,3.295,NA,pulse,100
1,3.1,2018-05-07,2.74,NA,pulse,100
1,3.3,2018-04-05,3.567,NA,pulse,100
1,1.6,2018-05-07,2.722,NA,constant,60
1,1.7,2018-04-05,3.278,NA,constant,60
1,1.7,2018-04-05,3.025,NA,constant,60
1,1.7,2018-04-05,3.14,NA,constant,60
1,1.7,2018-04-05,3.129,NA,constant,60
1,1.7,2018-04-05,3.677,NA,constant,60
1,1.2,2018-04-05,3.513,NA,constant,60
1,1.2,2018-04-05,3.068,NA,constant,60
1,1.2,2018-04-05,2.833,NA,constant,60
1,2.3,2018-04-05,3.104,NA,constant,100
1,2.3,2018-04-05,2.933,NA,constant,100
1,2.3,2018-04-05,3.584,NA,constant,100
1,2.3,2018-04-05,3.103,NA,constant,100
1,2.3,2018-04-05,3.083,NA,constant,100
1,3.7,2018-04-20,2.774,NA,pulse,100
1,3.7,2018-04-20,2.896,NA,pulse,100
1,3.7,2018-04-20,3.728,NA,pulse,100
1,4.6,2018-04-16,2.916,NA,pulse,60
1,4.6,2018-04-16,2.754,NA,pulse,60
1,1.6,2018-04-05,2.513,NA,constant,60
1,1.6,2018-04-05,2.83,NA,constant,60
1,1.6,2018-04-05,3.182,NA,constant,60
1,1.6,2018-04-05,2.678,NA,constant,60
1,3.3,2018-05-14,2.547,NA,pulse,100
1,2.2,2018-05-04,2.875,NA,constant,100
1,2.2,2018-05-04,3.099,NA,constant,100
1,2.2,2018-05-04,2.995,NA,constant,100
1,2.2,2018-05-04,3.284,NA,constant,100
1,1.3,2018-04-01,3.478,NA,constant,60
1,1.3,2018-04-01,3.157,NA,constant,60
1,2.2,2018-04-16,3.185,NA,constant,100
1,2.2,2018-04-16,2.235,NA,constant,100
1,2.2,2018-04-01,2.749,NA,constant,100
1,2.2,2018-04-01,3.231,NA,constant,100
1,3.2,2018-03-29,2.498,NA,pulse,100
1,3.2,2018-03-29,2.989,NA,pulse,100
1,3.2,2018-03-29,2.18,NA,pulse,100
1,1.5,2018-04-01,2.555,NA,constant,60
1,1.5,2018-04-01,3.191,NA,constant,60
1,1.6,2018-01-04,2.918,NA,constant,60
1,1.6,2018-01-04,2.971,NA,constant,60
1,1.6,2018-01-04,2.987,NA,constant,60
1,1.6,2018-01-04,3.414,NA,constant,60
1,4.1,2018-05-14,2.528,NA,pulse,60
1,4.1,2018-05-14,3.285,NA,pulse,60
1,4.1,2018-05-14,2.83,NA,pulse,60
1,4.6,2018-04-13,2.989,NA,pulse,60
1,4.6,2018-04-13,2.29,NA,pulse,60
1,4.6,2018-04-13,2.852,NA,pulse,60
1,4.6,2018-04-13,2.896,NA,pulse,60
1,2.2,2018-04-13,3.345,NA,constant,100
1,2.2,2018-04-13,3.271,NA,constant,100
1,2.2,2018-04-13,3.285,NA,constant,100
1,2.2,2018-04-13,3.309,NA,constant,100
1,3.2,2018-05-07,2.641,NA,pulse,100
1,3.2,2018-05-07,3.078,NA,pulse,100
1,3.2,2018-05-07,2.951,NA,pulse,100
1,3.7,2018-04-16,3.1,NA,pulse,100
