Microcolony ID,Date (2018),IT Distance  (mm),Notes
3.3,7/13/18,2.934,
3.3,7/13/18,2.773,
3.3,7/13/18,3.614,
3.3,7/13/18,3.592,
3.3,7/13/18,3.214,
3.3,7/13/18,3.648,
3.3,7/13/18,3.121,
4.3,7/16/18,2.738,
3.5,7/13/18,3.176,
3.5,7/13/18,3.164,
3.5,7/13/18,3.459,
4.5,7/13/18,3.039,
4.5,7/13/18,2.82,
4.5,7/13/18,2.908,
4.5,7/13/18,3.823,
3.6,8/2/18,2.986,
1.7,8/6/18,2.754,
1.7,8/6/18,3.066,
1.7,8/6/18,2.94,
4.1,7/30/18,2.771,
4.1,7/30/18,2.833,
4.1,7/30/18,3.181,
4.1,7/30/18,3.116,
4.6,7/23/18,2.477,
4.6,7/23/18,2.641,
4.6,7/23/18,2.726,
3.2,7/26/18,2.495,
3.2,7/26/18,2.329,
2.3,7/23/18,2.721,
2.3,7/23/18,2.492,
2.5,7/16/18,2.991,
2.5,7/16/18,3.234,
1.2,7/13/18,2.738,
1.2,7/13/18,3.432,
1.2,7/13/18,3.038,
1.2,7/13/18,2.886,
1.2,7/13/18,3.218,
1.2,7/13/18,3.379,
4.7,7/16/18,3.009,
3.3,7/18/18,2.544,
3.3,7/18/18,3.067,
2.2,7/16/18,2.755,
2.2,7/16/18,2.688,
2.2,7/16/18,2.775,
2.2,7/16/18,2.953,
4.6,7/13/18,3.805,
4.6,7/13/18,3.843,
4.6,7/13/18,3.533,
4.6,7/13/18,3.092,
4.6,7/13/18,3.691,
4.6,7/13/18,3.723,
4.6,7/13/18,3.754,
4.7,7/30/18,2.541,
2.2,8/6/18,2.985,
2.2,8/6/18,3.18,
2.2,8/6/18,3.1,
2.7,8/6/18,3.051,
2.7,8/6/18,3.43,
2.7,8/6/18,3.492,
2.2,7/18/18,3.033,
2.2,7/18/18,2.71,
1.2,7/23/18,2.884,
4.3,7/23/18,3.15,
4.3,7/23/18,3.217,
4.3,7/23/18,3.359,
4.1,7/13/18,2.677,
4.1,7/13/18,3.067,
4.1,7/13/18,2.984,
4.1,7/13/18,3.067,
4.1,7/13/18,3.135,
4.3,7/26/18,3.46,
2.1,7/26/18,3.168,
2.1,7/26/18,3.019,
2.1,7/26/18,2.952,
2.1,7/26/18,3.085,
3.2,7/13/18,3.169,
3.2,7/13/18,2.847,
3.2,7/13/18,3.248,
3.2,7/13/18,3.428,
