Microcolony Code,Date,Time,Initials,Temp,Humidity,Activity Code,MC Mass,n Total Drones,n New Drones,n Worker Deaths,Brood Code,work repl,drone rm,P Mass Remain,N Mass Remain,P Mass Provid,N Mass Provid
3.4,6/21/18,11:27 AM,AF,26.4,61,AC,428.46,0,0,0,EH,,,N/A,N/A,1.0032,13.6888
3.4,6/24/18,11:06 AM,AF,25.9,60,A,428.95,0,0,0,EHP,,,N/A,7.03,1.0181,13.7758
3.4,6/27/18,1:08 PM,AF,26.7,60,ACF,429.84,0,0,0,HP,,,3.82,6.69,1.023,15.5442
3.4,6/30/18,2:17 PM,AF,25.6,58,CF,427.49,0,0,4,EHP,1,,N/A,7.88,3.9207,26.1392
3.4,7/3/18,4:19 PM,AF,26,59,ACF,431.22,1,1,1,EHP,1,,N/A,20.34,3.8913,26.2533
3.4,7/6/18,4:13 PM,AF,25.6,55,C,434.8,1,0,0,EHP,,,8.56,21.58,3.9303,15.2558
3.4,7/9/18,1:02 PM,AF,25.7,60,CF,429.79,1,1,1,EH,1,,N/A,19.9,1.0158,13.9694
3.4,7/12/18,11:51 AM,AF,26.1,61,AC,430.8,2,1,0,EH,,2,N/A,8.24,0.998,14.1672
3.4,7/15/18,11:57 AM,AF,25.5,62,C,429.66,0,0,0,EH,,,5.13,8.72,1.0173,13.6828
3.4,7/18/18,11:02 AM,AF,25.9,59,C,426.11,0,0,1,EHP,1,,N/A,8.61,0.986,15.3836
3.4,7/23/18,1:06 PM,AK,25.8,60,C,430.8,0,0,1,EHP,1,,N/A,4.99,3.8,23.2
3.4,7/24/18,10:39 AM,AF,25.2,37,C,432.24,0,0,0,EHP,,,6.83,19.96,3.89,26.03
3.4,7/27/18,12:07 AM,AF,25.5,59,C,431.35,0,0,1,EHP,1,,N/A,17.8,3.91,26.99
3.4,7/30/18,9:31 AM,AF,25.5,61,C,434.62,0,0,0,EHP,,,N/A,20.13,1,14.42
3.4,8/2/18,11:00 AM,AF,23.6,62,C,434.04,0,0,0,EP,,,6.19,6.46,1,13.67
3.4,8/5/18,8:35 AM,AF,25.7,62,C,429.34,0,0,0,EP,,,N/A,8,1.01,13.5
2.7,6/21/18,11:35 AM,AF,25.4,61,A,422.94,0,0,0,H,,,N/A,N/A,2.0398,17.0771
2.7,6/24/18,11:08 AM,AF,26.1,61,AC,424.39,0,0,0,EH,,,N/A,11.83,2.0002,16.6356
2.7,6/27/18,1:17 PM,AF,26.7,59,AC,426.06,0,0,0,EHP,,,5.89,11.11,2.042,17.5409
2.7,6/30/18,2:32 PM,AF,26.3,64,C,422.25,0,0,1,EHP,1,,N/A,11.33,2.003,17.1465
2.7,7/3/18,4:35 PM,AF,26.1,61,AC,426.47,0,0,0,EHP,,,N/A,10.66,1.9922,17.757
2.7,7/6/18,4:19 PM,AF,25.8,54,C,425.98,1,1,0,EHP,,,5.92,12.07,2.0106,17.3823
2.7,7/9/18,12:51 PM,AF,26,60,C,421.61,1,0,1,EHP,1,,N/A,14.55,2.03,17.4953
2.7,7/12/18,11:57 AM,AF,26.3,62,AC,426.16,2,1,1,EH,1,2,N/A,12.51,2.0206,17.3615
2.7,7/15/18,12:02 PM,AF,25.7,64,C,425.08,1,1,1,EHP,1,1,5.01,12.43,2.0288,17.9905
2.7,7/18/18,11:12 AM,AF,26,62,C,421.69,0,0,2,EHP,2,,N/A,16.7,2.0092,17.00369
2.7,7/21/18,1:18 PM,AF,26,63,C,421.8,0,0,1,EHP,1,,N/A,8.67,1.98,18.55
2.7,7/24/18,10:43 AM,AF,25.4,59,C,426.78,0,0,0,EHP,,,6.03,12.98,2.03,18.57
2.7,7/27/18,12:15 PM,AF,25.3,61,C,426.83,0,0,0,EHP,,,N/A,8.27,1.98,17.4
2.7,7/30/18,9:34 AM,AF,25.5,61,C,426.27,2,2,0,EHP,,2,N/A,9.5,2,17.46
2.7,8/2/18,11:04 AM,AF,25.7,63,AC,427.06,3,3,0,EHP,,3,4.32,7.14,2,17.27
2.7,8/5/18,8:37 AM,AF,25.7,63,C,425.81,0,0,0,EHP,,,N/A,9.68,2.02,17.57
1.3,6/21/18,11:41 AM,AF,26.4,60,AC,434.17,0,0,0,EH,,,N/A,N/A,1.0948,14.4343
1.3,6/24/18,11:16 AM,AF,26.5,63,A,436.79,0,0,0,EH,,,N/A,10.01,0.9656,14.4056
