date,id,drone.number,it.distance
4/24/18,3.4,1,2.867
3/26/18,2.6,1,3.152
,,2,2.725
,,3,2.762
,,4,2.938
,,5,2.761
4/24/18,2.5,1,2.415
,,2,2.688
,,3,2.394
4/24/18,4.6,1,2.71
,,2,2.852
,,3,2.295
4/24/18,3.5,1,3.211
,,2,2.511
,,3,2.631
,,4,3.315
,,5,2.769
5/2/18,1.6,1,2.429
,,2,2.867
,,3,2.902
,,4,3.301
5/2/18,4.6,1,2.816
,,2,2.895
5/2/18,2.7,1,2.758
,,2,3.015
5/2/18,2.5,1,3.166
,,2,3.133
5/2/18,4.1,1,3.032
,,2,3.079
5/2/18,3.7,1,2.13
,,2,2.744
,,3,2.165
,,4,2.301
5/2/18,3.5,1,2.746
,,2,2.133
,,3,2.3
,,4,2.913
4/24/18,4.4,1,2.977
,,2,3.267
4/24/18,2.1,1,2.785
,,2,2.603
4/24/18,1.6,1,2.595
,,2,2.793
,,3,2.573
,,4,2.802
5/2/18,3.5,1,3.063
,,2,3.112
,,3,2.584
,,4,3.751
,,5,3.794
4/24/18,2.6,1,3.369
,,2,2.814
,,3,3.33
,,4,2.164
,,5,2.437
4/24/18,2.7,1,2.396
,,2,3.069
,,3,2.29
4/24/18,2.2,1,2.743
,,2,2.686
5/2/18,3.2,1,2.729
,,2,2.108
,,3,1.947
,,4,2.214
5/2/18,2.6,1,2.442
3/29/18,1.7,1,2.727
3/26/18,3.5,1,3.118
,,2,3.266
,,3,2.671
,,4,3.145
,,5,2.862
,,6,2.97
5/2/18,2.2,1,2.972
,,2,3.126
,,3,3.115
4/24/18,3.7,1,3.08
3/12/18,1.7,1,2.431
4/24/18,4.2,1,2.38
,,2,2.775
,,3,3.094
,,4,2.709
,,5,2.957
4/1/18,4.1,1,2.48
,,2,2.662
,,3,3.129
,,4,3.022
,,5,3.034
3/29/18,2.5,1,2.752
,,2,2.917
,,3,2.719
,,4,2.666
3/26/18,2.3,1,2.697
3/26/18,3.7,1,3.156
,,2,2.962
,,3,3.599
3/26/18,3.1,1,3.434
4/1/18,2.3,1,2.851
,,2,3.307
3/29/18,3.3,1,2.926
,,2,3.245
3/15/18,1.1,1,2.038
3/29/18,1.6,1,3.163
4/1/18,2.1,1,2.651
,,2,2.995
,,3,2.954
,,4,2.661
,,5,3.067
4/1/18,4.6,1,3.38
,,2,2.651
,,3,2.914
,,4,2.779
,,5,2.975
4/1/18,4.4,1,2.826
,,2,2.869
,,3,2.913
,,4,3.062
,,5,2.457
3/12/18,2.3,1,1.922
4/1/18,3.3,1,3.016
,,2,3.307
5/2/18,2.6,1,2.468
,,2,3.007
4/24/18,3.3,1,3.124
,,2,3.228
,,3,2.812
5/2/18,2.6,1,3.127
,,2,2.519
,,3,2.845
,,4,2.892
