rep,date,id,n.drones,drone.mass,avg.individ.mass,treatment,trt_pulse,trt_total
3,2018-12-30,3.2,5,0.6465,0.1293,NA,pulse,100
3,2018-12-30,3.4,2,0.1862,0.0931,NA,pulse,100
3,2018-12-30,3.6,5,0.4097,0.08194,NA,pulse,100
3,2018-12-30,3.7,1,0.0951,0.0951,NA,pulse,100
3,2018-12-30,4.2,1,0.0914,0.0914,NA,pulse,60
3,2018-12-30,4.3,5,0.6253,0.12506,NA,pulse,60
3,2018-12-30,4.4,3,0.2549,0.08496666666666668,NA,pulse,60
3,2018-12-09,3.7,1,0.0908,0.0908,NA,pulse,100
3,2018-12-06,4.7,2,0.2435,0.12175,NA,pulse,60
3,2018-12-18,1.2,2,0.1927,0.09635,NA,constant,60
3,2018-12-18,2.1,1,0.1335,0.1335,NA,constant,100
3,2019-01-06,1.3,2,0.1694,0.0847,NA,constant,60
3,2019-01-03,2.5,2,0.1416,0.0708,NA,constant,100
3,2019-01-23,3.1,0,NA,NA,NA,pulse,100
3,2019-01-23,3.7,0,NA,NA,NA,pulse,100
3,2018-12-06,3.2,2,0.1927,0.09635,NA,pulse,100
3,2019-01-23,4.5,1,0.1073,0.1073,NA,pulse,60
3,2019-01-03,3.1,2,0.2633,0.13165,NA,pulse,100
3,2019-01-03,2.4,2,0.2212,0.1106,NA,constant,100
3,2018-12-18,2.2,4,0.3937,0.098425,NA,constant,100
3,2018-12-15,4.1,2,0.1617,0.08085,NA,pulse,60
3,2018-12-09,3.6,1,0.1422,0.1422,NA,pulse,100
